filename,time_rel(sec)
xa.s12.00.mhz.1970-05-23HR00_evid00027,314393
xa.s12.00.mhz.1977-04-11HR00_evid00915,320264
xa.s12.00.mhz.1970-07-18HR00_evid00036,14526
xa.s12.00.mhz.1971-11-24HR00_evid00156,66772
xa.s12.00.mhz.1972-12-06HR00_evid00342,340303
xa.s12.00.mhz.1974-03-14HR00_evid00506,181366
xa.s12.00.mhz.1973-11-22HR00_evid00475,332524
xa.s12.00.mhz.1971-04-08HR01_evid00083,180958
xa.s12.00.mhz.1973-10-10HR00_evid00463,74372
xa.s12.00.mhz.1974-07-25HR05_evid00553,220914
xa.s12.00.mhz.1972-02-21HR00_evid00190,500272
xa.s12.00.mhz.1974-05-09HR00_evid00522,321834
xa.s12.00.mhz.1970-10-26HR00_evid00049,124099
xa.s12.00.mhz.1972-12-02HR00_evid00341,192967
xa.s12.00.mhz.1972-11-14HR00_evid00331,462684
xa.s12.00.mhz.1972-12-15HR00_evid00349,165836
xa.s12.00.mhz.1970-06-19HR00_evid00031,65527
xa.s12.00.mhz.1971-06-11HR00_evid00096,330845
xa.s12.00.mhz.1970-07-27HR00_evid00039,87645
xa.s12.00.mhz.1970-03-30HR00_evid00020,422122
xa.s12.00.mhz.1970-11-03HR00_evid00051,412465
xa.s12.00.mhz.1974-06-30HR00_evid00543,423441
xa.s12.00.mhz.1970-11-03HR00_evid00050,412465
xa.s12.00.mhz.1971-01-17HR00_evid00060,427286
xa.s12.00.mhz.1971-01-03HR00_evid00057,262641
xa.s12.00.mhz.1969-12-16HR00_evid00006,11023
xa.s12.00.mhz.1971-10-26HR00_evid00133,112626
xa.s12.00.mhz.1970-05-20HR00_evid00026,401098
xa.s12.00.mhz.1975-04-21HR00_evid00638,49495
xa.s12.00.mhz.1973-03-12HR00_evid00384,494274
xa.s12.00.mhz.1970-07-17HR00_evid00035,119505
xa.s12.00.mhz.1973-10-03HR03_evid00461,395443
xa.s12.00.mhz.1970-03-14HR00_evid00018,288201
xa.s12.00.mhz.1975-05-20HR00_evid00652,417593
xa.s12.00.mhz.1977-07-19HR00_evid00991,494307
xa.s12.00.mhz.1972-01-26HR00_evid00186,124257
xa.s12.00.mhz.1971-03-15HR00_evid00073,187588
xa.s12.00.mhz.1977-04-26HR00_evid00924,244263
xa.s12.00.mhz.1970-05-25HR00_evid00029,292079
xa.s12.00.mhz.1972-05-19HR00_evid00228,301068
xa.s12.00.mhz.1973-08-08HR00_evid00437,414611
xa.s12.00.mhz.1970-04-03HR00_evid00021,258159
xa.s12.00.mhz.1970-02-07HR00_evid00014,371055
xa.s12.00.mhz.1971-10-06HR00_evid00124,259239
xa.s12.00.mhz.1972-05-15HR00_evid00223,259239
xa.s12.00.mhz.1971-10-06HR00_evid00125,93455
xa.s12.00.mhz.1975-06-15HR00_evid00660,111309
xa.s12.00.mhz.1970-05-24HR00_evid00028,322375
xa.s12.00.mhz.1974-10-02HR00_evid00572,322375
xa.s12.00.mhz.1972-11-19HR00_evid00335,439735
xa.s12.00.mhz.1971-01-05HR00_evid00059,21100
xa.s12.00.mhz.1972-02-28HR00_evid00192,302726
xa.s12.00.mhz.1970-09-09HR00_evid00043,291394
xa.s12.00.mhz.1971-06-27HR00_evid00101,451178
xa.s12.00.mhz.1971-05-22HR00_evid00092,428020
xa.s12.00.mhz.1975-05-16HR00_evid00651,531539
xa.s12.00.mhz.1970-02-18HR00_evid00016,291104
xa.s12.00.mhz.1970-01-09HR00_evid00007,49266
xa.s12.00.mhz.1977-09-13HR00_evid01012,490522
xa.s12.00.mhz.1975-06-17HR00_evid00662,292570
xa.s12.00.mhz.1970-07-20HR00_evid00037,122034
xa.s12.00.mhz.1977-04-24HR00_evid00923,388036
xa.s12.00.mhz.1974-03-30HR00_evid00512,472083
xa.s12.00.mhz.1973-04-23HR00_evid00399,333358
